"sector","discount_rate","trial","scghg"
"cromar_mortality","2.0% Ramsey",1,75
"cromar_mortality","2.0% Ramsey",2,61
"cromar_mortality","2.0% Ramsey",3,53
"cromar_mortality","2.0% Ramsey",4,128
"cromar_mortality","2.0% Ramsey",5,85
"cromar_mortality","2.0% Ramsey",6,71
"cromar_mortality","2.0% Ramsey",7,114
"cromar_mortality","2.0% Ramsey",8,123
"cromar_mortality","2.0% Ramsey",9,29
"cromar_mortality","2.0% Ramsey",10,66
"energy","1.5% Ramsey",1,7
"energy","1.5% Ramsey",2,21
"energy","1.5% Ramsey",3,12
"energy","1.5% Ramsey",4,24
"energy","1.5% Ramsey",5,17
"energy","1.5% Ramsey",6,18
"energy","1.5% Ramsey",7,20
"energy","1.5% Ramsey",8,27
"energy","1.5% Ramsey",9,8
"energy","1.5% Ramsey",10,13
"total","2.5% Ramsey",1,59
"total","2.5% Ramsey",2,173
"total","2.5% Ramsey",3,54
"total","2.5% Ramsey",4,241
"total","2.5% Ramsey",5,117
"total","2.5% Ramsey",6,57
"total","2.5% Ramsey",7,103
"total","2.5% Ramsey",8,199
"total","2.5% Ramsey",9,44
"total","2.5% Ramsey",10,57
"total","1.5% Ramsey",1,141
"total","1.5% Ramsey",2,552
"total","1.5% Ramsey",3,171
"total","1.5% Ramsey",4,563
"total","1.5% Ramsey",5,450
"total","1.5% Ramsey",6,305
"total","1.5% Ramsey",7,321
"total","1.5% Ramsey",8,515
"total","1.5% Ramsey",9,148
"total","1.5% Ramsey",10,211
"agriculture","1.5% Ramsey",1,22
"agriculture","1.5% Ramsey",2,412
"agriculture","1.5% Ramsey",3,45
"agriculture","1.5% Ramsey",4,346
"agriculture","1.5% Ramsey",5,219
"agriculture","1.5% Ramsey",6,60
"agriculture","1.5% Ramsey",7,94
"agriculture","1.5% Ramsey",8,294
"agriculture","1.5% Ramsey",9,72
"agriculture","1.5% Ramsey",10,66
"agriculture","2.0% Ramsey",1,10
"agriculture","2.0% Ramsey",2,222
"agriculture","2.0% Ramsey",3,27
"agriculture","2.0% Ramsey",4,233
"agriculture","2.0% Ramsey",5,112
"agriculture","2.0% Ramsey",6,26
"agriculture","2.0% Ramsey",7,49
"agriculture","2.0% Ramsey",8,188
"agriculture","2.0% Ramsey",9,39
"agriculture","2.0% Ramsey",10,29
"energy","2.0% Ramsey",1,5
"energy","2.0% Ramsey",2,11
"energy","2.0% Ramsey",3,5
"energy","2.0% Ramsey",4,15
"energy","2.0% Ramsey",5,7
"energy","2.0% Ramsey",6,5
"energy","2.0% Ramsey",7,11
"energy","2.0% Ramsey",8,17
"energy","2.0% Ramsey",9,4
"energy","2.0% Ramsey",10,6
"cromar_mortality","1.5% Ramsey",1,110
"cromar_mortality","1.5% Ramsey",2,115
"cromar_mortality","1.5% Ramsey",3,112
"cromar_mortality","1.5% Ramsey",4,191
"cromar_mortality","1.5% Ramsey",5,212
"cromar_mortality","1.5% Ramsey",6,227
"cromar_mortality","1.5% Ramsey",7,205
"cromar_mortality","1.5% Ramsey",8,188
"cromar_mortality","1.5% Ramsey",9,67
"cromar_mortality","1.5% Ramsey",10,131
"slr","1.5% Ramsey",1,2
"slr","1.5% Ramsey",2,4
"slr","1.5% Ramsey",3,2
"slr","1.5% Ramsey",4,3
"slr","1.5% Ramsey",5,3
"slr","1.5% Ramsey",6,1
"slr","1.5% Ramsey",7,3
"slr","1.5% Ramsey",8,6
"slr","1.5% Ramsey",9,1
"slr","1.5% Ramsey",10,1
"total","2.0% Ramsey",1,91
"total","2.0% Ramsey",2,296
"total","2.0% Ramsey",3,86
"total","2.0% Ramsey",4,378
"total","2.0% Ramsey",5,205
"total","2.0% Ramsey",6,103
"total","2.0% Ramsey",7,176
"total","2.0% Ramsey",8,331
"total","2.0% Ramsey",9,71
"total","2.0% Ramsey",10,101
"cromar_mortality","2.5% Ramsey",1,52
"cromar_mortality","2.5% Ramsey",2,36
"cromar_mortality","2.5% Ramsey",3,31
"cromar_mortality","2.5% Ramsey",4,83
"cromar_mortality","2.5% Ramsey",5,43
"cromar_mortality","2.5% Ramsey",6,39
"cromar_mortality","2.5% Ramsey",7,69
"cromar_mortality","2.5% Ramsey",8,75
"cromar_mortality","2.5% Ramsey",9,17
"cromar_mortality","2.5% Ramsey",10,39
"energy","2.5% Ramsey",1,3
"energy","2.5% Ramsey",2,6
"energy","2.5% Ramsey",3,3
"energy","2.5% Ramsey",4,9
"energy","2.5% Ramsey",5,3
"energy","2.5% Ramsey",6,3
"energy","2.5% Ramsey",7,6
"energy","2.5% Ramsey",8,10
"energy","2.5% Ramsey",9,2
"energy","2.5% Ramsey",10,3
"slr","2.5% Ramsey",1,1
"slr","2.5% Ramsey",2,1
"slr","2.5% Ramsey",3,1
"slr","2.5% Ramsey",4,1
"slr","2.5% Ramsey",5,1
"slr","2.5% Ramsey",6,0
"slr","2.5% Ramsey",7,1
"slr","2.5% Ramsey",8,2
"slr","2.5% Ramsey",9,0
"slr","2.5% Ramsey",10,0
"slr","2.0% Ramsey",1,1
"slr","2.0% Ramsey",2,2
"slr","2.0% Ramsey",3,1
"slr","2.0% Ramsey",4,2
"slr","2.0% Ramsey",5,1
"slr","2.0% Ramsey",6,0
"slr","2.0% Ramsey",7,2
"slr","2.0% Ramsey",8,4
"slr","2.0% Ramsey",9,0
"slr","2.0% Ramsey",10,1
"agriculture","2.5% Ramsey",1,2
"agriculture","2.5% Ramsey",2,130
"agriculture","2.5% Ramsey",3,19
"agriculture","2.5% Ramsey",4,148
"agriculture","2.5% Ramsey",5,70
"agriculture","2.5% Ramsey",6,15
"agriculture","2.5% Ramsey",7,27
"agriculture","2.5% Ramsey",8,111
"agriculture","2.5% Ramsey",9,25
"agriculture","2.5% Ramsey",10,14
